DATE,Ticket Season,Day,Month,Year,Season,HOLIDAYPX,HOLIDAYM,HOLIDAYN,HOLIDAY,WDWTICKETSEASON,WDWRaceN,WDWeventN,WDWevent,WDWrace,WDWSEASON,WDWMAXTEMP,WDWMINTEMP,WDWMEANTEMP,MKeventN,MKevent,EPeventN,EPevent,HSeventN,HSevent,AKeventN,AKevent,HOLIDAYJ,inSession,inSession_Enrollment,inSession_wdw,inSession_dlr,inSession_sqrt_WDW,inSession_sqrt_DLR,inSession_California,inSession_DC,inSession_Central_FL,inSession_Drive1_FL,inSession_Drive2_FL,inSession_Drive_CA,inSession_Florida,inSession_Mardi_Gras,inSession_Midwest,inSession_NY_NJ,inSession_NY_NJ_PA,inSession_New_England,inSession_New_Jersey,inSession_Nothwest,INSESSION_PLANES,inSession_SoCal,inSession_Southwest,MKEMHMORN,MKEMHMYEST,MKEMHMTOM,MKEMHEVE,MKHOURSEMH,MKHOURSEMHYEST,MKHOURSEMHTOM,MKEMHEYEST,MKEMHETOM,EPEMHMORN,EPEMHMYEST,EPEMHMTOM,EPEMHEVE,EPEMHEYEST,EPEMHETOM,EPHOURSEMH,EPHOURSEMHYEST,EPHOURSEMHTOM,HSEMHMORN,HSEMHMYEST,HSEMHMTOM,HSEMHEVE,HSEMHEYEST,HSEMHETOM,HSHOURSEMH,HSHOURSEMHYEST,HSHOURSEMHTOM,AKEMHMORN,AKEMHMYEST,AKEMHMTOM,AKEMHEVE,AKEMHEYEST,AKEMHETOM,AKHOURSEMH,AKHOURSEMHYEST,AKHOURSEMHTOM,MKOPEN,MKCLOSE,MKHOURS,MKEMHOPEN,MKEMHCLOSE,MKOPENYEST,MKCLOSEYEST,MKHOURSYEST,MKOPENTOM,MKCLOSETOM,MKHOURSTOM,EPOPEN,EPCLOSE,EPHOURS,EPEMHOPEN,EPEMHCLOSE,EPOPENYEST,EPCLOSEYEST,EPHOURSYEST,EPOPENTOM,EPCLOSETOM,EPHOURSTOM,HSOPEN,HSCLOSE,HSHOURS,HSEMHOPEN,HSEMHCLOSE,HSOPENYEST,HSCLOSEYEST,HSHOURSYEST,HSOPENTOM,HSCLOSETOM,HSHOURSTOM,AKOPEN,AKCLOSE,AKHOURS,AKEMHOPEN,AKEMHCLOSE,AKOPENYEST,AKCLOSEYEST,AKHOURSYEST,AKOPENTOM,AKCLOSETOM,AKHOURSTOM,WEATHER_WDWHIGH,WEATHER_WDWLOW,WEATHER_WDWPRECIP,CapacityLost_MK,CapacityLost_EP,CapacityLost_HS,CapacityLost_AK,CapacityLostWGT_MK,CapacityLostWGT_EP,CapacityLostWGT_HS,CapacityLostWGT_AK,MKPRDDAY,MKPRDDT1,MKPRDDT2,MKPRDDN,MKPRDNGT,MKPRDNT1,MKPRDNT2,MKPRDNN,MKFIREWK,MKFIRET1,MKFIRET2,MKFIREN,EPFIREWK,EPFIRET1,EPFIRET2,EPFIREN,HSPRDDAY,HSPRDDT1,HSPRDDN,HSFIREWK,HSFIRET1,HSFIRET2,HSFIREN,HSSHWNGT,HSSHWNT1,HSSHWNT2,HSSHWNN,HSFIREWKS,AKPRDDAY,AKPRDDT1,AKPRDDT2,AKPRDDN,AKFIREN,AKSHWNGT,AKSHWNT1,AKSHWNT2,AKSHWNN
1/1/2019,peak,1,January,2019,Christmas Peak,0,5,nyd,1,peak,,wdwhol,1,0,CHRISTMAS PEAK,82.33,63.04,72.69,,0,,0,,0,,0,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,1,0,0,14,18,14,0,0,0,0,0,1,0,0,14,17,12,0,0,0,0,0,0,11,16.5,12.5,0,0,1,0,0,0,13,13,14,9:00,23:00,14,9:00,23:00,8:00,25:00:00,17,9:00,23:00,14,9:00,21:00,12,9:00,23:00,8:00,25:00:00,17,9:00,21:00,12,9:00,20:00,11,9:00,20:00,9:00,24:00:00,15,9:00,20:00,11,8:00,21:00,13,8:00,21:00,8:00,21:00,13,8:00,21:00,13,70.3,50.2,0.12,463054,381963,311870,263674,45552146,36668737,29761030,25749526,1,15:00,,Disney Festival of Fantasy Parade,0,,,,1,20:00,,Happily Ever After,1,21:00,,IllumiNations: Reflections of Earth,0,,,1,20:30,,"Jingle Bell, Jingle BAM!",1,20:00,,Fantasmic!,1,0,,,,,0,,,
1/2/2019,peak,2,January,2019,Christmas,2,5,,0,peak,,wdwhol,1,0,CHRISTMAS,81.15,63.26,72.21,,0,,0,emmhs,1,,0,,22%,19%,10%,2%,16%,10%,0%,62%,7%,4%,10%,0%,7%,4%,0%,94%,84%,18%,0%,46%,4%,0%,21%,0,0,0,0,14,14,14,0,0,0,0,1,0,1,0,12,14,13,0,0,0,0,0,0,12.5,11,11,1,0,0,0,0,0,14,13,13,9:00,23:00,14,9:00,23:00,9:00,23:00,14,9:00,23:00,14,9:00,21:00,12,9:00,21:00,9:00,21:00,12,9:00,21:00,12,9:00,20:00,11,7:30,20:00,9:00,20:00,11,9:00,20:00,11,8:00,21:00,13,7:00,21:00,8:00,21:00,13,8:00,21:00,13,70.3,50,0.12,463554,381963,311870,263674,45555146,36668737,29761030,25749526,1,15:00,,Disney Festival of Fantasy Parade,0,,,,1,20:00,,Happily Ever After,1,21:00,,IllumiNations: Reflections of Earth,0,,,1,20:30,,"Jingle Bell, Jingle BAM!",1,20:00,,Fantasmic!,1,0,,,,,0,,,
1/3/2019,peak,3,January,2019,Christmas,3,0,,0,peak,,wdwhol,1,0,CHRISTMAS,81.81,64.2,73.01,,0,,0,,0,,0,,37%,30%,22%,3%,27%,16%,1%,71%,14%,11%,25%,0%,10%,8%,7%,100%,100%,83%,100%,46%,10%,0%,30%,0,0,1,0,14,14,15,0,0,1,0,0,0,0,0,13,12,12,0,0,0,0,0,0,11,12.5,11,0,1,0,0,0,0,13,14,13,9:00,23:00,14,9:00,23:00,9:00,23:00,14,9:00,23:00,14,9:00,21:00,12,8:00,21:00,9:00,21:00,12,9:00,21:00,12,9:00,20:00,11,9:00,20:00,9:00,20:00,11,9:00,20:00,11,8:00,21:00,13,8:00,21:00,8:00,21:00,13,8:00,21:00,13,70.3,49.9,0.07,463554,381963,311870,263674,45555146,36668737,29761030,25749526,1,15:00,,Disney Festival of Fantasy Parade,0,,,,1,20:00,,Happily Ever After,1,21:00,,IllumiNations: Reflections of Earth,0,,,1,20:30,,"Jingle Bell, Jingle BAM!",1,20:00,,Fantasmic!,1,0,,,,,0,,,
1/4/2019,peak,4,January,2019,Christmas,4,0,,0,peak,,wdwhol,1,0,CHRISTMAS,82.39,64.22,73.31,,0,,0,,0,,0,,37%,30%,22%,3%,27%,16%,1%,71%,14%,11%,25%,0%,10%,8%,7%,100%,100%,83%,100%,46%,10%,0%,30%,1,0,0,0,15,14,14,0,0,0,1,0,0,0,0,12,13,12,0,0,0,0,0,0,11,11,11,0,0,1,0,0,0,13,13,13,9:00,23:00,14,8:00,23:00,9:00,23:00,14,9:00,23:00,14,9:00,21:00,12,9:00,21:00,9:00,21:00,12,9:00,21:00,12,9:00,20:00,11,9:00,20:00,9:00,20:00,11,9:00,20:00,11,8:00,21:00,13,8:00,21:00,8:00,21:00,13,8:00,20:00,12,70.3,49.8,0.12,463554,381963,311870,263674,45555146,36668737,29761030,25749526,1,15:00,,Disney Festival of Fantasy Parade,0,,,,1,20:00,,Happily Ever After,1,21:00,,IllumiNations: Reflections of Earth,0,,,1,20:30,,"Jingle Bell, Jingle BAM!",1,20:00,,Fantasmic!,1,0,,,,,0,,,
1/5/2019,peak,5,January,2019,Christmas,5,0,,0,peak,,wdwhol,1,0,CHRISTMAS,68.11,52.13,60.12,,0,,0,hsah,1,,0,,37%,30%,22%,3%,27%,16%,1%,71%,14%,11%,25%,0%,10%,8%,7%,100%,100%,83%,100%,46%,10%,0%,30%,0,1,0,0,14,15,13.25,0,0,0,0,0,0,0,0,12,12,12,0,0,1,0,0,0,11,11,12,1,0,0,0,0,0,13,13,11,9:00,23:00,14,9:00,23:00,9:00,23:00,14,9:00,21:00,12,9:00,21:00,12,9:00,21:00,9:00,21:00,12,9:00,21:00,12,9:00,20:00,11,9:00,20:00,9:00,20:00,11,9:00,20:00,11,8:00,20:00,12,7:00,20:00,8:00,21:00,13,9:00,20:00,11,70.3,49.6,0.12,463554,381963,311870,263674,45555146,36668737,29761030,25749526,1,15:00,,Disney Festival of Fantasy Parade,0,,,,1,20:00,,Happily Ever After,1,21:00,,IllumiNations: Reflections of Earth,0,,,1,20:30,,"Jingle Bell, Jingle BAM!",1,20:00,,Fantasmic!,1,0,,,,,0,,,
1/6/2019,regular,6,January,2019,Christmas,6,0,,0,regular,,wdwhol,1,0,CHRISTMAS,70.22,48.97,59.6,emm,1,,0,,0,,0,,73%,77%,77%,92%,75%,84%,89%,100%,67%,70%,74%,89%,53%,61%,88%,100%,100%,83%,100%,100%,59%,90%,92%,0,0,0,0,13.25,14,11,0,0,0,0,1,0,0,0,12,12,13,1,0,0,0,0,0,12,11,12.5,0,1,0,0,0,0,11,13,11,9:00,21:00,12,7:45,21:00,9:00,23:00,14,9:00,20:00,11,9:00,21:00,12,9:00,21:00,9:00,21:00,12,9:00,21:00,12,9:00,20:00,11,8:00,20:00,9:00,20:00,11,9:00,20:00,11,9:00,20:00,11,9:00,20:00,8:00,20:00,12,9:00,20:00,11,70.2,49.5,0.12,463554,381963,311870,263674,45555146,36668737,29761030,25749526,1,15:00,,Disney Festival of Fantasy Parade,0,,,,1,20:00,,Happily Ever After,1,21:00,,IllumiNations: Reflections of Earth,0,,,1,20:30,,"Jingle Bell, Jingle BAM!",1,20:00,,Fantasmic!,1,0,,,,,0,,,
1/7/2019,regular,7,January,2019,Christmas,7,0,,0,regular,,,0,0,CHRISTMAS,77.69,53.5,65.6,dah,1,,0,emmhs,1,,0,,73%,77%,77%,92%,75%,84%,89%,100%,67%,70%,74%,89%,53%,61%,88%,100%,100%,83%,100%,100%,59%,90%,92%,0,0,0,0,11,13.25,12.25,0,0,1,0,0,0,0,1,13,12,14,0,1,0,0,0,0,12.5,12,11,0,0,0,0,0,0,11,11,11,9:00,20:00,11,9:00,20:00,9:00,21:00,12,9:00,20:00,11,9:00,21:00,12,8:00,21:00,9:00,21:00,12,9:00,21:00,12,9:00,20:00,11,7:30,20:00,9:00,20:00,11,9:00,20:00,11,9:00,20:00,11,9:00,20:00,9:00,20:00,11,9:00,20:00,11,70.3,49.5,0.12,464554,381963,311870,265474,45565146,36668737,29761030,25762126,1,15:00,,Disney Festival of Fantasy Parade,0,,,,1,20:00,,Happily Ever After,1,21:00,,IllumiNations: Reflections of Earth,0,,,1,20:30,,Star Wars: A Galactic Spectacular,1,20:00,,Fantasmic!,1,0,,,,,0,,,
1/8/2019,value,8,January,2019,Christmas,8,0,,0,value,,,0,0,CHRISTMAS,77.2,56.07,66.64,emm,1,,0,,0,akah,1,,89%,96%,98%,95%,97%,95%,92%,100%,100%,97%,97%,91%,95%,93%,100%,100%,100%,100%,100%,100%,90%,90%,92%,0,0,0,0,12.25,11,14,0,1,0,1,0,1,0,0,14,13,12,0,0,0,0,0,0,11,12.5,12.5,0,0,0,0,0,0,11,11,11,9:00,20:00,11,7:45,20:00,9:00,20:00,11,9:00,21:00,12,9:00,21:00,12,9:00,23:00,9:00,21:00,12,9:00,21:00,12,9:00,20:00,11,9:00,20:00,9:00,20:00,11,9:00,20:00,11,9:00,20:00,11,9:00,20:00,9:00,20:00,11,9:00,20:00,11,70.3,49.4,0.08,464554,381963,311870,265474,45565146,36668737,29761030,25762126,1,15:00,,Disney Festival of Fantasy Parade,0,,,,1,20:00,,Happily Ever After,1,21:00,,IllumiNations: Reflections of Earth,0,,,1,20:30,,Star Wars: A Galactic Spectacular,1,20:00,,Fantasmic!,1,0,,,,,0,,,
1/9/2019,value,9,January,2019,Christmas,9,0,,0,value,marwk,,0,1,CHRISTMAS,72.54,53.22,62.88,,0,,0,emmhs,1,,0,,92%,99%,100%,95%,99%,96%,92%,100%,100%,100%,100%,91%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%,92%,0,0,0,1,14,12.25,11,0,0,0,0,0,0,1,0,12,14,12,0,0,0,0,0,0,12.5,11,11,0,0,1,0,0,0,11,11,12,9:00,21:00,12,9:00,23:00,9:00,20:00,11,9:00,20:00,11,9:00,21:00,12,9:00,21:00,9:00,21:00,12,9:00,21:00,12,9:00,20:00,11,7:30,20:00,9:00,20:00,11,9:00,20:00,11,9:00,20:00,11,9:00,20:00,9:00,20:00,11,9:00,20:00,11,70.3,49.3,0.11,464554,381963,311870,265474,45565146,36668737,29761030,25762126,1,15:00,,Disney Festival of Fantasy Parade,0,,,,1,20:00,,Happily Ever After,1,21:00,,IllumiNations: Reflections of Earth,0,,,1,20:30,,Star Wars: A Galactic Spectacular,1,20:00,,Fantasmic!,1,0,,,,,0,,,
1/10/2019,value,10,January,2019,Winter,10,0,,0,value,marwk,,0,1,WINTER,59.08,43.54,51.31,,0,,0,,0,,0,,91%,98%,100%,95%,99%,96%,92%,100%,100%,100%,100%,91%,100%,100%,100%,100%,100%,100%,100%,100%,99%,90%,92%,0,0,1,0,11,14,13,1,0,0,0,0,0,0,0,12,12,12,0,0,0,0,0,0,11,12.5,11,1,0,0,0,0,0,12,11,11,9:00,20:00,11,9:00,20:00,9:00,21:00,12,9:00,21:00,12,9:00,21:00,12,9:00,21:00,9:00,21:00,12,9:00,21:00,12,9:00,20:00,11,9:00,20:00,9:00,20:00,11,9:00,20:00,11,9:00,20:00,11,8:00,20:00,9:00,20:00,11,9:00,20:00,11,70.3,49.3,0.08,464554,381963,311870,265474,45565146,36668737,29761030,25762126,1,15:00,,Disney Festival of Fantasy Parade,0,,,,1,20:00,,Happily Ever After,1,21:00,,IllumiNations: Reflections of Earth,0,,,1,20:30,,Star Wars: A Galactic Spectacular,1,20:00,,Fantasmic!,1,0,,,,,0,,,
