STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
72205012815,1/1/2019,28.41822,-81.32413,27.1,"ORLANDO INTERNATIONAL AIRPORT, FL US",72.2,24,64.8,24,1021.1,21,17.5,24,7.8,24,3.6,24,8,999.9,84, ,62.1, ,0,G,999.9,100000
72205012815,1/2/2019,28.41822,-81.32413,27.1,"ORLANDO INTERNATIONAL AIRPORT, FL US",72.2,24,65.2,24,1021.4,24,17.8,24,10,24,2.9,24,9.9,999.9,82.9, ,62.1, ,0,G,999.9,100000
72205012815,1/3/2019,28.41822,-81.32413,27.1,"ORLANDO INTERNATIONAL AIRPORT, FL US",71.7,24,64.9,24,1018.3,24,14.8,24,9.9,24,5.4,24,12,999.9,82.9, ,63, ,0,G,999.9,100000
72205012815,1/4/2019,28.41822,-81.32413,27.1,"ORLANDO INTERNATIONAL AIRPORT, FL US",72.1,24,65.1,24,1015,19,11.6,24,8.4,24,7.9,24,20,33,82.9, ,63, ,0,G,999.9,10000
72205012815,1/5/2019,28.41822,-81.32413,27.1,"ORLANDO INTERNATIONAL AIRPORT, FL US",64.6,24,55.7,24,1015.5,22,11.8,24,9.8,24,9.1,24,13,20,82.9, ,57.9, ,0.13,G,999.9,10000
72205012815,1/6/2019,28.41822,-81.32413,27.1,"ORLANDO INTERNATIONAL AIRPORT, FL US",58,24,46.7,24,1020.6,24,16.8,24,10,24,4.9,24,8.9,999.9,71.1, ,46.9, ,0,G,999.9,0
72205012815,1/7/2019,28.41822,-81.32413,27.1,"ORLANDO INTERNATIONAL AIRPORT, FL US",63.2,24,54.5,24,1022.7,22,19.1,24,9.5,24,5.2,24,8.9,14,79, ,46.9, ,0,G,999.9,100000
72205012815,1/8/2019,28.41822,-81.32413,27.1,"ORLANDO INTERNATIONAL AIRPORT, FL US",66.6,24,56.9,24,1022.2,24,18.5,24,10,24,2.2,24,7,999.9,79, ,53.1, ,0,G,999.9,100000
72205012815,1/9/2019,28.41822,-81.32413,27.1,"ORLANDO INTERNATIONAL AIRPORT, FL US",65,24,54.7,24,1019.4,23,15.9,24,10,24,6.9,24,11.1,15.9,79, ,55, ,0,G,999.9,0
72205012815,1/10/2019,28.41822,-81.32413,27.1,"ORLANDO INTERNATIONAL AIRPORT, FL US",53.5,24,30.9,24,1018.9,24,15.2,24,10,24,9.4,24,15.9,999.9,73, ,44.1, ,0,G,999.9,0
72205012815,1/11/2019,28.41822,-81.32413,27.1,"ORLANDO INTERNATIONAL AIRPORT, FL US",56.6,24,43.8,24,1021.2,24,17.5,24,10,24,8.9,24,12,999.9,73.9, ,44.1, ,0,G,999.9,0
72205012815,1/12/2019,28.41822,-81.32413,27.1,"ORLANDO INTERNATIONAL AIRPORT, FL US",64.2,24,52.9,24,1022.7,24,19.1,24,10,24,6.5,24,12,999.9,78.1, ,48, ,0,G,999.9,0
72205012815,1/13/2019,28.41822,-81.32413,27.1,"ORLANDO INTERNATIONAL AIRPORT, FL US",67,24,58.3,24,1020.7,24,17.1,24,10,24,5.9,24,12,15.9,81, ,54, ,0,G,999.9,0
72205012815,1/14/2019,28.41822,-81.32413,27.1,"ORLANDO INTERNATIONAL AIRPORT, FL US",63,24,54.2,24,1021.1,21,17.5,24,10,24,7.2,24,11.1,15,81, ,55, ,0,G,999.9,0
72205012815,1/15/2019,28.41822,-81.32413,27.1,"ORLANDO INTERNATIONAL AIRPORT, FL US",54,24,44.2,24,1022.2,24,18.4,24,10,24,7.6,24,9.9,999.9,66.9, ,50, ,0,G,999.9,0
72205012815,1/16/2019,28.41822,-81.32413,27.1,"ORLANDO INTERNATIONAL AIRPORT, FL US",51,24,41.4,24,1023.5,24,19.8,24,10,24,6.5,24,11.1,999.9,61, ,44.1, ,0,G,999.9,0
