Date,Date Time,Actual Wait,Posted Wait,,Year,Month,Day,Average Daily Wait Time (Minutes),Unique Months,Average Monthly Wait Time (Minutes)
1/1/2015,1/1/2015 10:19,,10,,2015,January,1/1/2015,36.6,January,50
1/1/2015,1/1/2015 10:22,3,,,2015,January,1/2/2015,30.07407407,February,60.74074074
1/1/2015,1/1/2015 10:29,,15,,2015,January,1/3/2015,20.39370079,March,32.66666667
1/1/2015,1/1/2015 10:36,,25,,2015,January,1/4/2015,29.57943925,April,7.142857143
1/1/2015,1/1/2015 10:37,,25,,2015,January,1/5/2015,24.48453608,May,44.64285714
1/1/2015,1/1/2015 10:44,,35,,2015,January,1/6/2015,17.04545455,June,52
1/1/2015,1/1/2015 10:46,40,,,2015,January,1/7/2015,21.96428571,September,51
1/1/2015,1/1/2015 10:51,,55,,2015,January,1/8/2015,19.49074074,October,59.16666667
1/1/2015,1/1/2015 11:02,,45,,2015,January,1/9/2015,24.92105263,November,43.96551724
1/1/2015,1/1/2015 11:06,47,,,2015,January,1/10/2015,11.98170732,December,17.33333333
1/1/2015,1/1/2015 11:09,,55,,2015,January,1/11/2015,8.184931507,,
1/1/2015,1/1/2015 11:16,,60,,2015,January,1/12/2015,13.95683453,,
1/1/2015,1/1/2015 11:23,,60,,2015,January,1/13/2015,12.41666667,,
1/1/2015,1/1/2015 11:29,,60,,2015,January,1/14/2015,16.42241379,,
1/1/2015,1/1/2015 11:37,,70,,2015,January,1/15/2015,31.38554217,,
1/1/2015,1/1/2015 11:44,,75,,2015,January,1/16/2015,29.86666667,,
1/1/2015,1/1/2015 11:51,,75,,2015,January,1/17/2015,29.07894737,,
1/1/2015,1/1/2015 12:02,,60,,2015,January,1/18/2015,26.48734177,,
1/1/2015,1/1/2015 12:09,,50,,2015,January,1/19/2015,28.22580645,,
1/1/2015,1/1/2015 12:16,,30,,2015,January,1/20/2015,16.34453782,,
1/1/2015,1/1/2015 12:23,,30,,2015,January,1/21/2015,27.09923664,,
1/1/2015,1/1/2015 12:29,,50,,2015,January,1/22/2015,14.28082192,,
1/1/2015,1/1/2015 12:37,,50,,2015,January,1/23/2015,26.54761905,,
1/1/2015,1/1/2015 12:44,,65,,2015,January,1/24/2015,21.90625,,
1/1/2015,1/1/2015 12:51,,65,,2015,January,1/25/2015,13.75912409,,
