Date, YEAR, MONTH, DAY, PRECIPITATION, MAX TEMP, MIN TEMP, MEAN TEMP
1/1/2015,2015,January,1,0.00001,75,60,67.5
1/2/2015,2015,January,2,0,79,61,70
1/3/2015,2015,January,3,0,85,67,76
1/4/2015,2015,January,4,0,85,67,76
1/5/2015,2015,January,5,0.00001,74,56,65
1/6/2015,2015,January,6,0,79,56,67.5
1/7/2015,2015,January,7,0,68,49,58.5
1/8/2015,2015,January,8,0,62,38,50
1/9/2015,2015,January,9,0,57,46,51.5
1/10/2015,2015,January,10,0,69,44,56.5
1/11/2015,2015,January,11,0.08,79,53,66
1/12/2015,2015,January,12,2.98,79,63,71
1/13/2015,2015,January,13,0,77,62,69.5
1/14/2015,2015,January,14,0,65,53,59
1/15/2015,2015,January,15,0.02,63,53,58
1/16/2015,2015,January,16,0.01,65,50,57.5
1/17/2015,2015,January,17,0,74,48,61
1/18/2015,2015,January,18,0,71,54,62.5
1/19/2015,2015,January,19,0,71,45,58
1/20/2015,2015,January,20,0,72,49,60.5
1/21/2015,2015,January,21,0,78,52,65
1/22/2015,2015,January,22,0,78,54,66
1/23/2015,2015,January,23,0.01,80,62,71
1/24/2015,2015,January,24,0.36,71,49,60
1/25/2015,2015,January,25,0,65,41,53
1/26/2015,2015,January,26,0.06,67,51,59
1/27/2015,2015,January,27,0,68,44,56
1/28/2015,2015,January,28,0,62,44,53
1/29/2015,2015,January,29,0,72,44,58
1/30/2015,2015,January,30,0.00001,73,46,59.5
1/31/2015,2015,January,31,0,72,46,59
2/1/2015,2015,February,1,0,75,49,62
2/2/2015,2015,February,2,0.13,77,51,64
2/3/2015,2015,February,3,0,68,44,56
2/4/2015,2015,February,4,0.00001,75,53,64
2/5/2015,2015,February,5,1.52,67,50,58.5
2/6/2015,2015,February,6,0,68,50,59
2/7/2015,2015,February,7,0,73,47,60
2/8/2015,2015,February,8,0,75,48,61.5
2/9/2015,2015,February,9,0.69,73,53,63
2/10/2015,2015,February,10,0,65,54,59.5
2/11/2015,2015,February,11,0,68,48,58
2/12/2015,2015,February,12,0,71,44,57.5
2/13/2015,2015,February,13,0,61,45,53
2/14/2015,2015,February,14,0,64,41,52.5
2/15/2015,2015,February,15,0,75,49,62
2/16/2015,2015,February,16,0,77,49,63
2/17/2015,2015,February,17,0.56,80,59,69.5
2/18/2015,2015,February,18,0.58,61,45,53
2/19/2015,2015,February,19,0,52,39,45.5
2/20/2015,2015,February,20,0,58,33,45.5
2/21/2015,2015,February,21,0,73,43,58
2/22/2015,2015,February,22,0,82,55,68.5
2/23/2015,2015,February,23,0.00001,84,57,70.5
2/24/2015,2015,February,24,0.03,76,60,68
2/25/2015,2015,February,25,0.00001,76,59,67.5
2/26/2015,2015,February,26,0.21,75,57,66
2/27/2015,2015,February,27,0.00001,57,53,55
2/28/2015,2015,February,28,0.86,68,57,62.5
3/1/2015,2015,March,1,0.35,80,64,72
3/2/2015,2015,March,2,0,84,64,74
3/3/2015,2015,March,3,0,84,62,73
3/4/2015,2015,March,4,0,86,64,75
3/5/2015,2015,March,5,0,88,67,77.5
3/6/2015,2015,March,6,0.00001,73,53,63
3/7/2015,2015,March,7,0.00001,70,53,61.5
3/8/2015,2015,March,8,0,79,55,67
3/9/2015,2015,March,9,0,83,58,70.5
3/10/2015,2015,March,10,0,87,63,75
3/11/2015,2015,March,11,0.01,90,68,79
3/12/2015,2015,March,12,0,88,71,79.5
3/13/2015,2015,March,13,0,87,68,77.5
3/14/2015,2015,March,14,0,88,68,78
3/15/2015,2015,March,15,0,88,66,77
3/16/2015,2015,March,16,0,86,65,75.5
3/17/2015,2015,March,17,0,87,63,75
3/18/2015,2015,March,18,0,88,66,77
3/19/2015,2015,March,19,0.00001,88,68,78
3/20/2015,2015,March,20,0,90,68,79
3/21/2015,2015,March,21,0,89,66,77.5
3/22/2015,2015,March,22,0,88,70,79
3/23/2015,2015,March,23,0.07,80,67,73.5
3/24/2015,2015,March,24,0,81,63,72
3/25/2015,2015,March,25,0,82,63,72.5
3/26/2015,2015,March,26,0.01,88,63,75.5
3/27/2015,2015,March,27,0.31,84,61,72.5
3/28/2015,2015,March,28,0,70,54,62
3/29/2015,2015,March,29,0,72,48,60
3/30/2015,2015,March,30,0,78,45,61.5
3/31/2015,2015,March,31,0,84,58,71
4/1/2015,2015,April,1,0,85,64,74.5
4/2/2015,2015,April,2,0,86,63,74.5
4/3/2015,2015,April,3,0,87,65,76
4/4/2015,2015,April,4,0,87,63,75
4/5/2015,2015,April,5,0.01,84,66,75
4/6/2015,2015,April,6,0,86,67,76.5
4/7/2015,2015,April,7,0.00001,88,66,77
4/8/2015,2015,April,8,0,89,65,77
4/9/2015,2015,April,9,0,89,64,76.5
4/10/2015,2015,April,10,0,90,65,77.5
4/11/2015,2015,April,11,1.5,91,69,80
4/12/2015,2015,April,12,0.15,90,67,78.5
4/13/2015,2015,April,13,0.59,89,70,79.5
4/14/2015,2015,April,14,0,88,68,78
4/15/2015,2015,April,15,0.00001,90,71,80.5
4/16/2015,2015,April,16,0.34,87,71,79
4/17/2015,2015,April,17,0.00001,85,70,77.5
4/18/2015,2015,April,18,0,89,71,80
4/19/2015,2015,April,19,0.00001,92,72,82
4/20/2015,2015,April,20,0.53,86,66,76
4/21/2015,2015,April,21,0,88,67,77.5
4/22/2015,2015,April,22,0,88,69,78.5
4/23/2015,2015,April,23,0.54,84,68,76
4/24/2015,2015,April,24,0,86,70,78
4/25/2015,2015,April,25,0,90,68,79
4/26/2015,2015,April,26,0.22,89,76,82.5
4/27/2015,2015,April,27,0,83,71,77
4/28/2015,2015,April,28,0.33,82,70,76
4/29/2015,2015,April,29,0,88,70,79
